caching,access_pattern,payload_weight,entropy,network,density,concurrency,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,unique,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,29.25,70.125,
off,unique,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,31.333333333333336,71.17500000000001,
off,zipfian,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,31.083333333333336,68.35119047619048,
off,zipfian,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,35.0,70.525,
on,uniform,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,15.166666666666668,44.9047619047619,
on,uniform,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,16.25,43.57499999999999,
on,unique,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,12.380952380952381,39.32142857142857,
on,unique,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,14.333333333333332,42.66666666666667,
on,zipfian,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,10.166666666666668,35.16666666666667,
on,zipfian,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,10.833333333333332,35.083333333333336,
off,uniform,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,66.75833333333334,59.199999999999996,
off,uniform,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,58.968333333333334,59.079166666666666,
off,unique,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,65.91833333333332,59.215,
off,unique,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,57.84916666666666,58.48916666666667,
off,zipfian,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,65.1425,59.29309523809523,
off,zipfian,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,67.85166666666666,59.204166666666666,
on,uniform,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,60.454166666666666,59.441428571428574,
on,uniform,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,54.99666666666667,59.16583333333333,
on,unique,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,59.11214285714286,59.54333333333334,
on,unique,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,68.12083333333334,58.23916666666666,
on,zipfian,heavy,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,69.36583333333334,59.123333333333335,
on,zipfian,light,medium,constrained,medium,10,rss_mean_mb,rest,graphql,2,2,,,,,insufficient_n,65.52583333333334,58.92,
