protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
rest,aggregate,medium,50,payload_bytes_med,30,1.821077591147539e-08,True
rest,aggregate,medium,100,payload_bytes_med,30,4.115810966428832e-08,True
rest,baseline,high,10,payload_bytes_med,30,1.7267044807779795e-08,True
rest,baseline,high,50,payload_bytes_med,30,7.76637667465555e-12,True
rest,baseline,high,100,payload_bytes_med,30,1.7929407502729729e-10,True
rest,baseline,low,10,payload_bytes_med,30,2.1858231373067554e-07,True
rest,baseline,low,50,payload_bytes_med,30,1.5576462001285278e-08,True
rest,baseline,low,100,payload_bytes_med,30,2.1858231373067231e-07,True
rest,baseline,medium,10,payload_bytes_med,30,0.00028834922042317486,True
rest,baseline,medium,50,payload_bytes_med,30,0.004906791406046776,True
rest,baseline,medium,100,payload_bytes_med,30,0.004845576203737207,True
rest,filtered,high,10,payload_bytes_med,30,1.823174376792263e-07,True
rest,filtered,high,50,payload_bytes_med,30,2.106946328283306e-07,True
rest,filtered,high,100,payload_bytes_med,30,3.914394139687341e-08,True
rest,filtered,low,10,payload_bytes_med,30,4.874830236365243e-11,True
rest,filtered,low,50,payload_bytes_med,30,9.099351809977123e-12,True
rest,filtered,low,100,payload_bytes_med,30,4.914146106562372e-11,True
rest,filtered,medium,10,payload_bytes_med,30,6.38628585474929e-06,True
rest,filtered,medium,50,payload_bytes_med,30,1.4012891933438555e-06,True
rest,filtered,medium,100,payload_bytes_med,30,4.701061219427366e-06,True
rest,partial,high,50,payload_bytes_med,30,3.2924177112304065e-11,True
rest,partial,high,100,payload_bytes_med,30,3.2924177112304065e-11,True
rest,partial,low,10,payload_bytes_med,30,8.47411631125402e-10,True
rest,partial,low,50,payload_bytes_med,30,1.4509006065978593e-07,True
rest,partial,low,100,payload_bytes_med,30,1.0922957991481325e-07,True
rest,partial,medium,10,payload_bytes_med,30,0.00028782269258899437,True
rest,partial,medium,50,payload_bytes_med,30,8.567978346672744e-05,True
rest,partial,medium,100,payload_bytes_med,30,0.00018540232033750585,True
graphql,aggregate,high,10,xproc_p95,30,3.976330947558425e-05,True
graphql,aggregate,high,50,xproc_p95,30,0.1418053221201907,False
graphql,aggregate,high,100,xproc_p95,30,0.993997401725673,False
graphql,aggregate,low,10,xproc_p95,30,9.582710390519616e-08,True
graphql,aggregate,low,50,xproc_p95,30,0.6850158095211084,False
graphql,aggregate,low,100,xproc_p95,30,0.8154135338761721,False
graphql,aggregate,medium,10,xproc_p95,30,9.746357552439231e-08,True
graphql,aggregate,medium,50,xproc_p95,30,0.5103913025059297,False
graphql,aggregate,medium,100,xproc_p95,30,0.12138774205417063,False
graphql,baseline,high,10,xproc_p95,30,0.7669237716255142,False
graphql,baseline,high,50,xproc_p95,30,0.22108136723594268,False
graphql,baseline,high,100,xproc_p95,30,0.6433109087138391,False
graphql,baseline,low,10,xproc_p95,30,0.05914452620446968,False
graphql,baseline,low,50,xproc_p95,30,0.1291957546647441,False
graphql,baseline,low,100,xproc_p95,30,0.36731953820306373,False
graphql,baseline,medium,10,xproc_p95,30,0.47396114188351457,False
graphql,baseline,medium,50,xproc_p95,30,0.09965370988809542,False
