pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
aggregate,high,100,throughput_rps,30,30,599.3188490436482,158.93840437205486,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,throughput_rps,30,30,714.7782910266117,173.72913771201127,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,throughput_rps,30,30,660.9013857787006,167.83532536535512,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,throughput_rps,30,30,644.3244854160605,165.2552587982008,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,throughput_rps,30,30,688.4598433625848,170.94421204270935,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,throughput_rps,30,30,629.476778510812,165.6949099861194,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,throughput_rps,30,30,596.8539845580626,159.04047712938078,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,throughput_rps,30,30,164.6155891959418,65.1608124030813,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,throughput_rps,30,30,162.35566492869356,64.17091585842168,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,throughput_rps,30,30,159.75680998719997,62.76046328285264,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,10,throughput_rps,30,30,460.990341998217,124.54784236996117,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,50,throughput_rps,30,30,440.10383986434744,121.52705738121364,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,100,throughput_rps,30,30,419.8499791193831,117.88068786431722,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,10,throughput_rps,30,30,257.86911177786146,88.57772809854757,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,50,throughput_rps,30,30,252.72428246045158,86.86316673421453,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,100,throughput_rps,30,30,245.08697705789314,85.05288218860659,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,10,throughput_rps,30,30,328.04773969914834,98.81595154717175,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,50,throughput_rps,30,30,318.41769519613786,96.97511182724269,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,100,throughput_rps,30,30,307.58665862456024,95.2761947601482,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,10,throughput_rps,30,30,591.0511465098491,130.33623877617904,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,50,throughput_rps,30,30,548.3493246876328,128.46703034615535,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,100,throughput_rps,30,30,530.4089620499614,122.48321651632673,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,10,throughput_rps,30,30,421.531350331715,113.71694452132698,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,50,throughput_rps,30,30,400.1910007484985,109.77386510942232,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
