pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
filtered,medium,100,payload_bytes_med,30,30,1963.0,1996.0,90.0,8.60811341323121e-08,-0.8,large,rest,1.4756765851253502e-07,True
partial,high,1,payload_bytes_med,30,30,4444.0,4474.0,168.0,9.84401489663967e-06,-0.6266666666666667,large,rest,1.4318567122384975e-05,True
partial,high,10,payload_bytes_med,30,30,4444.0,4474.0,81.0,1.5143551756336847e-08,-0.82,large,rest,2.692186978904328e-08,True
partial,high,50,payload_bytes_med,30,30,4444.0,4474.0,117.0,1.8690866677494282e-07,-0.74,large,rest,3.0936606914473295e-07,True
partial,high,100,payload_bytes_med,30,30,4444.0,4474.0,262.0,0.003683537309081826,-0.4177777777777778,medium,rest,0.004533584380408401,True
partial,low,1,payload_bytes_med,30,30,922.0,952.0,50.0,1.2827473753448087e-09,-0.8888888888888888,large,rest,2.798721546206855e-09,True
partial,low,10,payload_bytes_med,30,30,922.0,952.0,0.0,1.105743706420471e-11,-1.0,large,rest,3.7911212791559e-11,True
partial,low,50,payload_bytes_med,30,30,922.0,952.0,54.0,1.8460982679559521e-09,-0.88,large,rest,3.7194942951754547e-09,True
partial,low,100,payload_bytes_med,30,30,922.0,952.0,0.0,5.885203625617543e-12,-1.0,large,rest,2.5680888548149277e-11,True
partial,medium,1,payload_bytes_med,30,30,2639.0,2669.5,1.0,2.7274035301359513e-11,-0.9977777777777778,large,rest,7.700904085089746e-11,True
partial,medium,10,payload_bytes_med,30,30,2639.0,2669.0,5.0,3.703530484267281e-11,-0.9888888888888889,large,rest,9.876081291379416e-11,True
partial,medium,50,payload_bytes_med,30,30,2639.0,2669.0,11.0,7.4209029588246e-11,-0.9755555555555555,large,rest,1.8747544317030568e-10,True
partial,medium,100,payload_bytes_med,30,30,2639.0,2669.0,0.0,2.429055153344386e-11,-1.0,large,rest,7.442297496482724e-11,True
aggregate,high,1,xproc_p95,30,30,0.00097292499999995,0.006965874999999899,0.0,3.0122956066832855e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,10,xproc_p95,30,30,0.015118,0.07888574999999964,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,50,xproc_p95,30,30,0.08656547499999975,0.33197810000000005,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,100,xproc_p95,30,30,0.215314675,0.610856775,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,1,xproc_p95,30,30,0.0009055000000000001,0.00680719999999995,0.0,3.0179667984904466e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,xproc_p95,30,30,0.0146838,0.07868792499999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,xproc_p95,30,30,0.0795663999999999,0.33894665,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,xproc_p95,30,30,0.2054634,0.5920521000000001,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,1,xproc_p95,30,30,0.00098,0.006971125,0.0,3.008520215091029e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,xproc_p95,30,30,0.015016149999999898,0.0822823999999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,xproc_p95,30,30,0.07963149999999994,0.33886685,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,xproc_p95,30,30,0.21842830000000002,0.603825925,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,1,xproc_p95,30,30,0.0083230249999999,0.020054999999999948,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,xproc_p95,30,30,0.06424845,0.18754564999999984,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,xproc_p95,30,30,0.29172885000000004,0.82489205,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,xproc_p95,30,30,0.5204460249999999,1.5539105749999997,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,1,xproc_p95,30,30,0.0021465,0.009175949999999999,0.0,3.0104073709630884e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,10,xproc_p95,30,30,0.02409212499999995,0.11010344999999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,50,xproc_p95,30,30,0.10245784999999995,0.451727525,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,100,xproc_p95,30,30,0.25312389999999996,0.81810505,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,1,xproc_p95,30,30,0.0041575250000000005,0.01235862499999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,10,xproc_p95,30,30,0.04091779999999995,0.14443007499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,50,xproc_p95,30,30,0.18167117499999996,0.5953896,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,100,xproc_p95,30,30,0.3607855249999999,1.12086455,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,1,xproc_p95,30,30,0.00389014999999995,0.0119883,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,10,xproc_p95,30,30,0.03487069999999995,0.13762724999999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,50,xproc_p95,30,30,0.14526602499999997,0.5559277499999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,100,xproc_p95,30,30,0.3162434,1.015649275,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,1,xproc_p95,30,30,0.00154589999999995,0.00900909999999995,0.0,3.006634138511715e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,10,xproc_p95,30,30,0.01945724999999995,0.1292215,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,50,xproc_p95,30,30,0.08517707499999991,0.42444744999999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,100,xproc_p95,30,30,0.23031079999999998,0.7722724249999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,1,xproc_p95,30,30,0.0025335,0.010206275,0.0,3.0122956066832855e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,10,xproc_p95,30,30,0.02759534999999995,0.13519744999999986,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,50,xproc_p95,30,30,0.1124783499999999,0.49922665,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,100,xproc_p95,30,30,0.272117725,0.8884599,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,1,xproc_p95,30,30,0.004040225,0.01182714999999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,10,xproc_p95,30,30,0.04280589999999995,0.13266662499999984,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,50,xproc_p95,30,30,0.23414869999999993,0.559256,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,100,xproc_p95,30,30,0.37393509999999996,1.02919345,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,1,xproc_p95,30,30,0.0013605000000000002,0.0081798499999999,0.0,3.006634138511715e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,10,xproc_p95,30,30,0.018246825,0.09606534999999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,50,xproc_p95,30,30,0.09095859999999985,0.39885352499999993,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,100,xproc_p95,30,30,0.22981135,0.7175143500000001,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,1,xproc_p95,30,30,0.002281425,0.00958699999999995,0.0,3.0141849228072565e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,xproc_p95,30,30,0.02896197499999995,0.12114582499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
