protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
rest,aggregate,high,100,xproc_p95,30,0.1150968196401797,False
rest,aggregate,low,1,xproc_p95,30,0.30936265887091563,False
rest,aggregate,low,10,xproc_p95,30,0.03997401080942749,True
rest,aggregate,low,50,xproc_p95,30,8.081876957170294e-08,True
rest,aggregate,low,100,xproc_p95,30,0.00038657609243331677,True
rest,aggregate,medium,1,xproc_p95,30,0.13919071768389985,False
rest,aggregate,medium,10,xproc_p95,30,0.0472908648869633,True
rest,aggregate,medium,50,xproc_p95,30,5.5737163609318566e-09,True
rest,aggregate,medium,100,xproc_p95,30,0.9740335741301571,False
rest,baseline,high,1,xproc_p95,30,0.0009946853605594154,True
rest,baseline,high,10,xproc_p95,30,0.18084492469273167,False
rest,baseline,high,50,xproc_p95,30,5.915160074808833e-07,True
rest,baseline,high,100,xproc_p95,30,0.0020081903035379825,True
rest,baseline,low,1,xproc_p95,30,0.0045401161630133895,True
rest,baseline,low,10,xproc_p95,30,0.629392612047719,False
rest,baseline,low,50,xproc_p95,30,3.80281609031515e-09,True
rest,baseline,low,100,xproc_p95,30,0.005144518011109064,True
rest,baseline,medium,1,xproc_p95,30,0.6409743875332814,False
rest,baseline,medium,10,xproc_p95,30,0.04494938727580916,True
rest,baseline,medium,50,xproc_p95,30,1.0392190796406466e-07,True
rest,baseline,medium,100,xproc_p95,30,0.06804361037285378,False
rest,filtered,high,1,xproc_p95,30,0.12772506648107923,False
rest,filtered,high,10,xproc_p95,30,0.43349170912573703,False
rest,filtered,high,50,xproc_p95,30,0.23565911445279908,False
rest,filtered,high,100,xproc_p95,30,0.6334493520551385,False
rest,filtered,low,1,xproc_p95,30,0.07579032928906669,False
rest,filtered,low,10,xproc_p95,30,0.18523138232595526,False
rest,filtered,low,50,xproc_p95,30,2.9723374993188814e-08,True
rest,filtered,low,100,xproc_p95,30,0.7464536907510796,False
rest,filtered,medium,1,xproc_p95,30,0.13345827124720666,False
rest,filtered,medium,10,xproc_p95,30,0.7491295531363262,False
rest,filtered,medium,50,xproc_p95,30,0.29783954701718246,False
rest,filtered,medium,100,xproc_p95,30,0.007682552079924569,True
rest,partial,high,1,xproc_p95,30,0.05465578989533339,False
rest,partial,high,10,xproc_p95,30,0.434220575824962,False
rest,partial,high,50,xproc_p95,30,0.4430596828638449,False
rest,partial,high,100,xproc_p95,30,0.8143630386327094,False
rest,partial,low,1,xproc_p95,30,0.09779221539919189,False
rest,partial,low,10,xproc_p95,30,0.6533503059126753,False
rest,partial,low,50,xproc_p95,30,2.5043982955224147e-07,True
rest,partial,low,100,xproc_p95,30,0.15464707048893722,False
rest,partial,medium,1,xproc_p95,30,0.010917496098364147,True
rest,partial,medium,10,xproc_p95,30,0.36242314126137104,False
rest,partial,medium,50,xproc_p95,30,0.00013785353130353967,True
rest,partial,medium,100,xproc_p95,30,0.37146149392617744,False
