caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
on,unique,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,527.0,0.09319232535787861,0.5855555555555557,0.17111111111111144,small,0.0,0.0,0.465961626789393
on,zipfian,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,299.0,0.026006962702770003,0.33222222222222214,-0.3355555555555557,medium,0.36368664446910837,0.3766666666666666,0.15604177621662002
on,zipfian,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,533.0,0.2225022031314151,0.5922222222222222,0.1844444444444444,small,0.4222222222222222,0.4194444444444444,0.6675066093942453
off,uniform,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,uniform,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,unique,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,unique,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,zipfian,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,zipfian,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,uniform,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,uniform,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,unique,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,unique,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,zipfian,heavy,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
on,zipfian,light,medium,constrained,medium,10,0,error_rate,rest,graphql,30,30,450.0,1.0,0.5,0.0,negligible,0.0,0.0,1.0
off,uniform,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.971003012292459e-11,0.0,-1.0,large,2.748626373626374,8.631868131868131,3.5652036147509503e-10
off,uniform,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.984085202574315e-11,0.0,-1.0,large,3.065934065934066,8.9617773530817,3.5652036147509503e-10
off,unique,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.984085202574315e-11,0.0,-1.0,large,2.5494505494505493,8.44266602962255,3.5652036147509503e-10
off,unique,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,3.0122956066832855e-11,0.0,-1.0,large,3.1255972288580987,8.93956043956044,3.5652036147509503e-10
off,zipfian,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,3.0104073709630884e-11,0.0,-1.0,large,2.8967391304347823,8.994565217391305,3.5652036147509503e-10
off,zipfian,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,3.004749140670014e-11,0.0,-1.0,large,3.060081223124701,9.546464405160057,3.5652036147509503e-10
on,uniform,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.978472128053608e-11,0.0,-1.0,large,2.61753463927377,8.548913043478262,3.5652036147509503e-10
on,uniform,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.989707925956072e-11,0.0,-1.0,large,2.78021978021978,8.690217391304348,3.5652036147509503e-10
on,unique,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.9972199255851795e-11,0.0,-1.0,large,2.6338987099856666,8.571428571428571,3.5652036147509503e-10
on,unique,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,3.0122956066832855e-11,0.0,-1.0,large,2.967032967032967,8.994565217391305,3.5652036147509503e-10
on,zipfian,heavy,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,2.993461776053235e-11,0.0,-1.0,large,1.9285714285714286,6.131151457238413,3.5652036147509503e-10
on,zipfian,light,medium,constrained,medium,10,0,cpu_mean,rest,graphql,30,30,0.0,3.002865221010998e-11,0.0,-1.0,large,2.120879120879121,6.217391304347826,3.5652036147509503e-10
off,uniform,heavy,medium,constrained,medium,10,0,rss_mean_mb,rest,graphql,30,30,0.0,1.1480788320149947e-12,0.0,-1.0,large,48.94,59.51,1.2628867152164941e-11
