scenario,tier,rate_label,metric,family,group_a,group_b,overload_saturates,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
M3,low,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,743.0,1.5291673925716366e-05,0.8255555555555555,0.651111111111111,large,50.00597979537563,50.000410207299524,0.0003211251524400437
M3,medium,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,691.0,0.0003770395640831686,0.7677777777777777,0.5355555555555553,large,25.008535504688204,25.006635330059005,0.006786712153497035
M3,medium,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,619.0,0.012732114616306573,0.6877777777777777,0.3755555555555554,medium,50.005677485665046,49.999548144361555,0.05092845846522629
M4,high,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,632.0,0.00728836046503409,0.7022222222222223,0.4044444444444446,medium,25.008008668127772,25.00677318214855,0.03644180232517045
M4,high,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,687.0,0.0004713751442131583,0.7633333333333333,0.5266666666666666,large,50.005336055980244,49.99934443942878,0.00801337745162369
M4,low,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,697.0,0.0002680570968049172,0.7744444444444445,0.548888888888889,large,25.00851263676013,25.003274734182284,0.0053611419360983445
M4,low,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,661.0,0.0018574800226340267,0.7344444444444443,0.4688888888888887,medium,50.005982051716614,50.00307609059358,0.01857480022634027
M4,medium,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,778.0,1.2860392091779297e-06,0.8644444444444443,0.7288888888888887,large,25.00849633740522,25.00292865085116,3.0864941020270314e-05
M4,medium,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,667.0,0.0013703325610487653,0.7411111111111112,0.48222222222222233,large,50.006079526339704,50.00324404544733,0.016443990732585186
M5,w2,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,50.01260364470294,24.99981298793317,1.0871493692983765e-09
M5,w2,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,100.00307088745947,50.001527567954554,1.0871493692983765e-09
M5,w23,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,50.01195211337526,24.999836460526165,1.0871493692983765e-09
M5,w23,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,100.0034954639738,49.997992883561835,1.0871493692983765e-09
M5,w8,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,50.01238394182844,24.99980692261518,1.0871493692983765e-09
M5,w8,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,100.00236374350888,49.99954201553447,1.0871493692983765e-09
M6,k1,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,783.0,8.841094917328212e-07,0.87,0.74,large,17.009394253351857,17.007422220847022,2.210273729332053e-05
M6,k1,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,771.0,2.15403414258883e-06,0.8566666666666668,0.7133333333333336,large,34.00767560542039,34.00501725334205,4.738875113695426e-05
M6,k10,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,169.96170383409532,17.00646355093545,1.0871493692983765e-09
M6,k10,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,339.8097254453087,34.00084519659549,1.0871493692983765e-09
M6,k5,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,85.01776301701912,17.007164662076473,1.0871493692983765e-09
M6,k5,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,169.980282964092,33.99962684315581,1.0871493692983765e-09
M1,high,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,74.00208919944203,61.05320401478022,3.6238312309945887e-10
M1,low,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,729.0,3.830668704115981e-05,0.8099999999999999,0.6199999999999999,large,74.00353644213777,73.99869633749418,0.00019153343520579905
M1,medium,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,882.0,1.77690788708274e-10,0.98,0.96,large,74.00321593996813,73.99629294033397,1.7769078870827399e-09
M2,high,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,899.0,3.3383888204288e-11,0.9988888888888889,0.9977777777777779,large,74.00271638364157,73.9958730149564,3.67222770247168e-10
M2,low,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,701.0,0.00021264638274527632,0.7788888888888889,0.5577777777777777,large,74.00309463544104,73.99915753628058,0.0005674858080632538
M2,medium,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,821.0,4.310612299972247e-08,0.9122222222222223,0.8244444444444445,large,74.0030807543821,73.99843254184299,3.4484898399777976e-07
M3,high,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,882.0,1.77690788708274e-10,0.98,0.96,large,74.00304881812491,73.99688377528528,1.7769078870827399e-09
M3,low,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,812.0,9.063205240555394e-08,0.9022222222222224,0.8044444444444447,large,74.00381565544782,73.9984011103258,6.344243668388776e-07
M3,medium,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,754.0,7.220829977875534e-06,0.8377777777777777,0.6755555555555555,large,74.0033143805774,73.99849111713146,4.332497986725321e-05
M4,high,r120_overload,throughput_rps,overload_image,rest,graphql,graphql,30,30,670.0,0.0011737583520143354,0.7444444444444446,0.48888888888888915,large,74.00319565983288,73.99913812549755,0.0011737583520143354
