run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
700f9fb2b704,B0030,rest,aggregate,medium,10,11,run-sesi-1,1781998501.560,1781998561.901,13.876861,18.329438500000002,22.611824,689.1244027451785,288,0.013714500000000001,0.009732,0,105.10491803278688,107.9,64.96,64.96,41351,
33100970b297,B0030,rest,aggregate,medium,10,12,run-sesi-1,1781998561.908,1781998622.265,13.951508,19.196129,23.96726499999998,684.5879479944791,287,0.014599,0.009817,0,106.36,108.045,64.96,64.96,41081,
68354bb305cd,B0030,rest,aggregate,medium,10,13,run-sesi-1,1781998622.273,1781998682.609,13.6757285,18.12790515,22.19358477,700.97800127946,287,0.013603849999999999,0.009603500000000001,0,105.54,107.9,64.96,64.96,42064,
825d8402a5eb,B0030,rest,aggregate,medium,10,14,run-sesi-1,1781998682.616,1781998742.971,13.744257,18.026592000000004,21.863988199999987,698.6221197715265,287,0.013396800000000002,0.009612,0,105.33500000000001,106.9,64.96,64.96,41923,
9f480b7205a3,B0030,rest,aggregate,medium,10,15,run-sesi-1,1781998742.979,1781998803.335,13.7558905,17.8229425,21.19741491,698.0844916473801,287,0.013163,0.00964,0,105.14754098360656,106.9,64.96,64.96,41892,
c31e715298c7,B0030,rest,aggregate,medium,10,16,run-sesi-1,1781998803.344,1781998863.686,13.881579,18.666109499999994,22.99468433,688.8047493240445,288,0.01417,0.00975,0,105.85833333333333,107.9,64.96,64.96,41334,
cea5d29a8410,B0030,rest,aggregate,medium,10,17,run-sesi-1,1781998863.694,1781998924.041,13.892973,18.628221,23.13615902000001,687.2229236642988,287,0.014003,0.009735,0,105.63333333333334,107.9,64.96,64.96,41239,
439280cb431c,B0030,rest,aggregate,medium,10,18,run-sesi-1,1781998924.050,1781998984.394,13.814003,18.456163999999998,22.815542400000012,691.0156264244958,287,0.013783,0.009718,0,105.32622950819673,107.9,64.96,64.96,41465,
a1a8b97c5a71,B0030,rest,aggregate,medium,10,19,run-sesi-1,1781998984.403,1781999044.762,13.7808925,18.077775999999997,22.24572522999998,696.2977924431009,287,0.013514,0.009686,0,105.58666666666667,107.9,64.96,64.96,41784,
7e3d08ebc5c0,B0030,rest,aggregate,medium,10,20,run-sesi-1,1781999044.771,1781999105.116,13.968386,18.77520535,23.123599900000002,684.8765893804655,287,0.014254,0.009866,0,105.72333333333334,107.9,64.96,64.96,41098,
4f586d85478e,B0030,rest,aggregate,medium,10,21,run-sesi-1,1781999105.126,1781999165.506,14.01756,18.8147575,23.653976200000002,682.236073917824,287,0.014369,0.009906,0,105.70819672131148,107.9,64.96,64.96,40940,
b6a36a11dcc5,B0030,rest,aggregate,medium,10,22,run-sesi-1,1781999165.516,1781999225.860,13.848794999999999,18.242169,22.53710203,691.0536867123479,287,0.013707,0.009727,0,105.855,107.9,64.96,64.96,41468,
61b16305147d,B0030,rest,aggregate,medium,10,23,run-sesi-1,1781999225.871,1781999286.263,13.66086,17.992632000000004,21.740391479999992,701.8208533107747,287,0.0134304,0.009596,0,105.60166666666667,107.045,64.96,64.96,42113,
ab5d42780a4d,B0030,rest,aggregate,medium,10,24,run-sesi-1,1781999286.274,1781999346.613,13.908789,18.5278581,22.644085999999938,689.2116498105034,287,0.013943,0.009743,0,105.51475409836065,108.0,64.96,64.96,41359,
